company,financial_attention,financial_course,risk_preference,lottery_preference,answer_interest_rate,knowledge_interest_rate,answer_inflation_rate,knowledge_inflation_rate,answer_stock_fund,knowledge_stock_fund,factor_calculate,factor_judge,factor_attention
201500166,,,,,,,,,,,,,
201500167,,,,,,,,,,,,,
201500168,,,,,,,,,,,,,
201500169,,,,,,,,,,,,,
201500170,,,,,,,,,,,,,
201500171,,,,,,,,,,,,,
201500172,5,1,1,2,,,,,1,1,,,
201500173,,,,,,,,,,,,,
201500174,4,0,3,2,1,1,1,1,1,1,1.508479876,0.558441568,-0.243234363
201500175,,,,,,,,,,,,,
201500176,5,1,5,1,1,1,1,1,0,1,1.439568273,-0.626489896,1.680010579
201500177,,,,,,,,,,,,,
201500178,,,,,,,,,,,,,
201500179,,,,,,,,,,,,,
201500180,,,,,,,,,,,,,
201500181,,,,,,,,,,,,,
201500182,,,,,,,,,,,,,
201500183,3,0,3,2,0,0,0,0,1,1,-1.332440082,0.467026824,-0.414550225
201500184,,,,,,,,,,,,,
201500186,,,,,,,,,,,,,
201500187,,,,,,,,,,,,,
201500188,,,,,,,,,,,,,
201500189,,,,,,,,,,,,,
201500191,,,,,,,,,,,,,
201500192,,,,,,,,,,,,,
201500193,,,,,,,,,,,,,
201500194,5,0,2,,1,1,0,0,1,1,-0.23039738,1.104203036,0.015101555
201500195,,,,,,,,,,,,,
201500196,,,,,,,,,,,,,
201500197,3,0,3,1,0,1,1,1,1,1,0.966405173,0.344596628,-0.363500455
201500198,,,,,,,,,,,,,
201500199,4,1,2,2,0,1,0,0,1,1,-0.914990958,0.776252731,1.221291572
201500200,,,,,,,,,,,,,
201500201,,,,,,,,,,,,,
201500202,,,,,,,,,,,,,
201500203,,,,,,,,,,,,,
201500204,,,,,,,,,,,,,
201500205,4,1,2,2,1,1,0,0,1,1,-0.343890591,1.016199316,0.825651182
201500206,,,,,,,,,,,,,
201500207,,,,,,,,,,,,,
201500208,,,,,,,,,,,,,
201500209,,,,,,,,,,,,,
201500210,,,,,,,,,,,,,
201500211,4,0,3,1,0,0,0,1,1,1,-0.523011729,0.184777346,0.180629674
201500212,,,,,,,,,,,,,
201500213,3,0,4,,1,1,0,0,0,0,0.030066757,-1.080980749,-0.944446743
201500214,,,,,,,,,,,,,
201500215,,,,,,,,,,,,,
201500216,1,0,1,2,0,0,0,0,0,1,-1.171755814,-0.525494342,-1.365480837
201500217,,,,,,,,,,,,,
201500218,,,,,,,,,,,,,
201500219,,,,,,,,,,,,,
201500220,,,,,,,,,,,,,
201500221,3,0,3,1,0,1,,,0,0,,,
201500222,,,,,,,,,,,,,
201500223,,,,,,,,,,,,,
201500224,,,,,,,,,,,,,
201500225,,,,,,,,,,,,,
201500226,,,,,,,,,,,,,
201500227,,,,,,,,,,,,,
201500228,,,,,,,,,,,,,
201500229,,,,,,,,,,,,,
201500230,,,,,,,,,,,,,
201500231,3,0,2,2,0,1,0,0,1,1,-0.743446417,0.916459741,-0.621071019
201500232,,,,,,,,,,,,,
201500233,,,,,,,,,,,,,
201500234,,,,,,,,,,,,,
201500235,,,,,,,,,,,,,
201500236,,,,,,,,,,,,,
201500237,,,,,,,,,,,,,
201500238,,,,,,,,,,,,,
201500239,,,,,,,,,,,,,
201500240,,,,,,,,,,,,,
201500241,5,1,4,1,1,1,1,1,1,1,1.336935335,0.418234559,1.599128228
201500242,,,,,,,,,,,,,
201500243,,,,,,,,,,,,,
201500244,,,,,,,,,,,,,
201500245,3,0,4,2,0,1,0,0,1,1,-0.743446417,0.916459741,-0.621071019
201500246,,,,,,,,,,,,,
201500247,5,0,3,2,0,1,0,0,0,1,-0.69886481,-0.180468004,0.491624295
201500249,,,,,,,,,,,,,
201500250,,,,,,,,,,,,,
201500251,,,,,,,,,,,,,
201500252,2,0,3,2,0,0,0,0,0,1,-1.200781479,-0.551595987,-0.849574356
201500253,,,,,,,,,,,,,
201500254,,,,,,,,,,,,,
201500255,,,,,,,,,,,,,
201500256,,,,,,,,,,,,,
201500257,3,1,4,1,1,1,1,1,0,1,1.497619603,-0.574286607,0.648197616
201500258,,,,,,,,,,,,,
201500259,,,,,,,,,,,,,
201500260,,,,,,,,,,,,,
201500261,,,,,,,,,,,,,
201500262,4,1,3,2,0,1,0,0,1,1,-0.914990958,0.776252731,1.221291572
201500263,,,,,,,,,,,,,
201500264,,,,,,,,,,,,,
201500265,,,,,,,,,,,,,
201500266,,,,,,,,,,,,,
201500267,,,,,,,,,,,,,
201500268,,,,,,,,,,,,,
201500269,,,,,,,,,,,,,
201500270,,,,,,,,,,,,,
201500271,,,,,,,,,,,,,
201500272,,,,,,,,,,,,,
201500273,,,,,,,,,,,,,
201500274,,,,,,,,,,,,,
201500275,,,,,,,,,,,,,
201500276,,,,,,,,,,,,,
201500277,,,,,,,,,,,,,
201500278,,,,,,,,,,,,,
201500279,,,,,,,,,,,,,
201500280,,,,,,,,,,,,,
201500281,,,,,,,,,,,,,
201500282,2,0,5,1,1,1,0,0,0,0,0.059092422,-1.054879104,-1.460353225
201500283,1,0,4,2,0,0,0,0,0,0,-1.071975945,-1.718156961,-1.374098523
201500284,,,,,,,,,,,,,
201500285,,,,,,,,,,,,,
201500286,,,,,,,,,,,,,
201500287,,,,,,,,,,,,,
201500288,,,,,,,,,,,,,
201500289,,,,,,,,,,,,,
201500290,,,,,,,,,,,,,
201500291,,,,,,,,,,,,,
