bank_loan_restrict_rate,DFH,size,age,age^2,asset,tax_tolerance,employee_number,gdp_2_proportion,reserve_rate,loan_rate_annual,industry,company_ownership,bank_type,industry,company,region,is_bank_loan,is_need_bank_loan,is_need_bank_loan_pro,no_apply_bank_loan_reason_1,no_apply_bank_loan_reason_2,no_apply_bank_loan_reason_3,no_apply_bank_loan_reason_4,no_apply_bank_loan_reason_5,no_apply_bank_loan_reason_6,no_apply_bank_loan_reason_7,no_apply_bank_loan_reason_8,no_receive_bank_loan_reason_1,no_receive_bank_loan_reason_2,no_receive_bank_loan_reason_3,no_receive_bank_loan_reason_4,no_receive_bank_loan_reason_5,no_receive_bank_loan_reason_6,no_receive_bank_loan_reason_7,no_receive_bank_loan_reason_8,is_private_loan,is_need_private_loan
0.0,5.482844821891153,12.611541086966117,4.454347296253507,8.885440911707585,10.308985993422082,3.0,1.3862943611198906,34.6564,1.62,3.85,4.0,3.0,3.0,4.0,201501207,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,11.225256725762891,3.80666248977032,7.5688956634069955,12.206077645517674,2.0,2.70805020110221,34.6564,1.62,3.85,13.0,3.0,1.0,13.0,201501208,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.304686600863562,3.9889840465642745,7.940939762327791,10.819798284210286,1.0,2.5649493574615367,34.6564,1.62,3.85,11.0,3.0,5.0,11.0,201501210,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.914123179965662,5.2574953720277815,10.50457426724686,15.424948670398354,4.0,3.4339872044851463,34.6564,1.62,3.85,13.0,3.0,4.0,13.0,201501211,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,16.811242881518265,4.727387818712341,9.437077458800523,14.508658238524095,3.0,3.9318256327243257,34.6564,1.62,3.85,13.0,3.0,2.0,13.0,201501212,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.765691290604371,4.820281565605037,9.624434806782402,14.508658238524095,3.0,2.079441541679836,34.6564,1.62,3.85,7.0,3.0,1.0,7.0,201501215,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.611541086966117,5.25227342804663,10.494075844768336,9.90353755128617,3.0,1.6094379124341005,34.6564,1.62,3.85,13.0,3.0,2.0,13.0,201501220,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.527829818844936,5.2574953720277815,10.50457426724686,15.607270193858982,3.0,2.772588722239781,34.6564,1.62,3.85,13.0,3.0,0.0,13.0,201501221,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,15.830413711839864,4.90527477843843,9.7957352900419,13.845070331079134,4.0,4.110873864173311,34.6564,1.62,3.85,8.0,3.0,2.0,8.0,201501222,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,11.918397239722838,4.8283137373023015,9.640628165515691,12.206077645517674,3.0,2.5649493574615367,34.6564,1.62,3.85,13.0,3.0,2.0,13.0,201501224,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.527829818844936,4.430816798843313,8.837826364007704,14.508658238524095,4.0,2.19722457733622,34.6564,1.62,3.85,13.0,3.0,4.0,13.0,201501225,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,9.798182590890704,2.772588722239781,5.420534999272286,11.51293546492023,3.0,1.0986122886681098,34.6564,1.62,3.85,13.0,3.0,4.0,13.0,201501226,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.220976332738882,5.2574953720277815,10.50457426724686,15.424948670398354,5.0,3.4339872044851463,34.6564,1.62,3.85,1.0,3.0,2.0,1.0,201501228,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,16.811242881518265,5.472270673671475,10.936138085526478,15.424948670398354,5.0,2.772588722239781,34.6564,1.62,3.33854794520548,13.0,3.0,7.0,13.0,201501229,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.815511557963774,4.68213122712422,9.345745008982384,13.815511557963774,4.0,2.3978952727983707,34.6564,1.62,3.85,13.0,3.0,2.0,13.0,201501231,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.765691290604371,4.867534450455582,9.719684899460376,13.527829818844936,4.0,3.258096538021482,34.6564,1.62,3.85,13.0,3.0,3.0,13.0,201501234,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.815511557963774,5.247024072160486,10.48352202446443,12.611541086966117,5.0,1.0986122886681098,34.6564,1.62,3.85,3.0,3.0,1.0,3.0,201501235,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,17.72753358339242,4.955827057601261,9.897570078772093,16.118095750958314,4.0,3.258096538021482,34.6564,1.62,3.85,2.0,3.0,2.0,2.0,201501238,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,14.914123179965662,4.919980925828125,9.82536383575455,13.527829818844936,3.0,1.3862943611198906,34.6564,1.62,3.85,3.0,3.0,8.0,3.0,201501240,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,12.611541086966117,5.0238805208462765,10.034603530393666,14.914123179965662,3.0,1.6094379124341005,34.6564,1.62,3.85,3.0,3.0,2.0,3.0,201501241,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
0.0,5.482844821891153,13.815511557963774,4.882801922586371,9.750452916367069,10.819798284210286,4.0,3.4339872044851463,34.6564,1.62,3.85,13.0,1.0,3.0,13.0,201501242,华东,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
