year,province,gdp,gdp_1,gdp_2,gdp_3,gdp_per,gdp_1_proportion,gdp_2_proportion,gdp_3_proportion,gdp_index,gdp_index_1,gdp_index_2,gdp_index_3,gdp_index_per
1963,上海市,90.69,4.54,65.72,20.43,851,5.0061,72.4666,22.5273,112.38,97.85,121.69,93.46,
1963,江苏省,75.52,35.27,18.14,22.11,172,46.7029,24.0201,29.277,114,124.3,105.6,100.9,
1963,浙江省,46.6,23.37,12.26,10.97,169,50.1502,26.309,23.5408,110.4,118.65,105.88,102.63,
1963,安徽省,40.81,22.79,8.68,9.34,128,55.8442,21.2693,22.8865,103.83,103.26,108.69,102.48,
1963,福建省,23.6,11.42,5.38,6.8,142,48.3898,22.7966,28.8136,103.9,118.6,90.6,101.1,
1963,江西省,32.69,18.66,7.01,7.02,158,57.0817,21.4439,21.4745,102.1,105.2,105.3,83.2,
1963,山东省,67.61,33.47,19.09,15.05,123,49.5045,28.2355,22.26,111.03,117.55,114.19,98.09,
1963,河南省,42.45,15.11,15.15,12.19,85.4,35.5948,35.689,28.7161,99.6,89.7,121.5,105.2,
1963,湖北省,56.3,32.25,12.28,11.77,170,57.2824,21.8117,20.9059,110,109.8,116.1,104.6,
1963,湖南省,48.08,25.11,11.37,11.6,131,52.2255,23.6481,24.1265,96.4,91.1,107.9,97.2,
1963,广东省,81.81,36.78,23.25,21.78,224.88,44.9578,28.4195,26.6227,114.06,113.8,114.98,113.7,
1963,广西壮族自治区,24.49,12.13,6.87,5.49,108.43,49.5304,28.0523,22.4173,105.92,103.17,112.64,103.04,
1963,四川省,69.06,42.74,10.27,16.06,143,61.8882,14.8711,23.2551,,,,,
1963,贵州省,16.8,11.13,2.97,2.7,100,66.25,17.6786,16.0714,108.6,112.8,99.5,106.1,
1963,云南省,25.63,14.01,7.11,4.51,129,54.6625,27.7409,17.5966,104.4,101.7,108.8,105.4,
1963,陕西省,27.36,13.09,8.12,6.15,135,47.8436,29.6784,22.4781,109.3,112.5,112,98.6,
1963,甘肃省,16.25,6.66,5.85,3.74,130,40.9846,36,23.0154,127.27,128.61,147.15,103.72,
1963,青海省,4.86,2.66,0.85,1.35,232,54.7325,17.4897,27.7778,109.05,127.51,105.26,88.38,
1963,宁夏回族自治区,3.96,2.06,0.85,1.05,195,52.0202,21.4646,26.5152,119.3,121.2,128,111.2,
1963,新疆维吾尔自治区,19.01,9.79,5.66,3.56,267,51.4992,29.7738,18.727,116,128.1,98.8,86.9,
1964,北京市,35.99,4.83,20.96,10.2,476,13.4204,58.2384,28.3412,114.8,113.1,116.7,110.8,
1964,天津市,30.59,2.3,20.08,8.21,494,7.5188,65.6424,26.8388,115.9,102.3,126.8,102,
1964,河北省,56.68,27.15,16.89,12.64,143,47.9005,29.7989,22.3006,126.2,138.1,126.7,112.2,
1964,山西省,38.4,13.1,15.6,9.7,213,34.1146,40.625,25.2604,115.8,117.4,117.8,110.6,
1964,内蒙古自治区,32.55,14.04,11.43,7.08,262,43.1336,35.1152,21.7512,113.2,111.8,117.1,111.3,
1964,中国,1469.9,559,519.3,391.6,210,38,35.3,26.6,118.26,112.94,125.61,115.51,115.55
1964,辽宁省,87.21,18,50.5,18.71,324,20.6398,57.9062,21.454,116.8,110.7,120.3,113.3,
1964,吉林省,38.45,11.72,17.95,8.78,246,30.4811,46.684,22.8349,106.4,100.7,111,103.9,
1964,黑龙江省,68.16,16.81,33.01,18.34,339,24.6626,48.4302,26.9073,114.6,100.5,115.4,115.2,
1964,上海市,100.7,6.24,72.17,22.29,933,6.1966,71.6683,22.1351,116.41,136.62,115.89,115.08,
1964,江苏省,89.55,42.5,24.01,23.04,200,47.4595,26.8118,25.7286,116.4,117.9,134.1,102.9,
1964,浙江省,51.75,24.92,14.68,12.15,182,48.1546,28.3671,23.4783,113.97,109.52,120.63,114.71,
1964,安徽省,44.97,23.64,11.32,10.01,140,52.5684,25.1723,22.2593,116.44,115.13,131.17,110.25,
1964,福建省,25.95,11.88,6.92,7.15,153,45.7803,26.6667,27.553,116.8,115.5,128.7,108.2,
1964,江西省,35.2,19.56,7.92,7.72,166,55.5682,22.5,21.9318,107.5,104.9,114.3,109.2,
1964,山东省,71.66,33.05,23.43,15.18,128,46.1206,32.6961,21.1834,111.36,103.3,126.99,106.71,
1964,河南省,51.4,22.4,15.56,13.44,101.4,43.5798,30.2724,26.1479,132.9,150.1,116.3,112.3,
